brand,model,price,link,stock_status,vendor
FACTORY,"BLEM - Bushmaster XM15-E2S Forged Stripped AR15 Lower Receiver - Black | BLEMISHED, sold As-Is NO RETURNS",$69.99,https://www.2ndamendmentwholesale.com/factory-blem-bushmaster-xm15-e2s-forged-stripped-ar15-lower-receiver-black-blemished-sold-as-is-no-returns,In Stock,Second Amendment Wholesale
Black,"Aces Tactical Pro Series M Semi-Auto Shotgun - Black | 12ga | 18.5"" Barrel | KIT - ASSEMBLY REQUIRED",$349.99,https://www.2ndamendmentwholesale.com/black-aces-tactical-pro-series-m-semi-auto-shotgun-black-12ga-18-5-barrel-kit-assembly-required,In Stock,Second Amendment Wholesale
Riley,"Defense RAK47 AK-47 Rifle - Teak | 7.62x39 | 16"" Barrel",$746.95,https://www.2ndamendmentwholesale.com/riley-defense-rak47-ak-47-rifle-teak-7-62x39-16-barrel,In Stock,Second Amendment Wholesale
CZ,"Scorpion EVO 3 S1 Pistol - Black | 9mm | 7.75"" Barrel | 10rd",$839.99,https://www.2ndamendmentwholesale.com/cz-scorpion-evo-3-s1-pistol-black-9mm-7-75-barrel-10rd,In Stock,Second Amendment Wholesale
Steyr,"Arms AUG A3 M1 Rifle - OD Green | 5.56 NATO | 16"" CHF Barrel","$1,714.00",https://www.2ndamendmentwholesale.com/steyr-arms-aug-a3-m1-rifle-od-green-5-56-nato-16-chf-barrel,In Stock,Second Amendment Wholesale
CZ,"Scorpion EVO 3 S1 Pistol - OD Green | 9mm | 7.72"" Barrel | 20rd",$999.99,https://www.2ndamendmentwholesale.com/cz-scorpion-evo-3-s1-pistol-od-green-9mm-7-72-barrel-20rd,In Stock,Second Amendment Wholesale
Steyr,"Arms AUG A3 M1 Rifle - White | .223 Remington | 16"" CHF Barrel","$1,714.00",https://www.2ndamendmentwholesale.com/steyr-arms-aug-a3-m1-rifle-white-223-remington-16-chf-barrel,In Stock,Second Amendment Wholesale
M+M,"Inc M10 Hybrid AK-47 Pistol - Black | 7.62x39 | 12.5"" Barrel","$1,149.99",https://www.2ndamendmentwholesale.com/m-m-inc-m10-hybrid-ak-47-pistol-black-7-62x39-12-5-barrel,In Stock,Second Amendment Wholesale
UTAS,XTR-12 Semi-Auto 12ga Shotgun - Black | 5rd mag,$749.99,https://www.2ndamendmentwholesale.com/utas-xtr-12-semi-auto-12ga-shotgun-black-5rd-mag,In Stock,Second Amendment Wholesale
Uzkon,"ZK-18 Semi-Auto Shotgun - Black | 12ga | 19.5"" Barrel | Synthetic Furniture",$229.99,https://www.2ndamendmentwholesale.com/uzkon-zk-18-semi-auto-shotgun-black-12ga-19-5-barrel-synthetic-furniture,In Stock,Second Amendment Wholesale
